FFT1,FFT2,FFT3,FFT4,FFT5,FFT6,FFT7,target
74446160.06889015,84688447.15970504,74037601.91132689,68350464.77212697,58283519.72102043,53595476.879900604,52907408.079977036,abajo
82251573.46314533,84493005.17928873,79321869.40177205,72695827.96222267,66540117.4158648,61840377.22818481,61797060.368632495,abajo
88804035.1667776,76160942.23798648,63045332.35383249,57923992.075176835,54655562.117329985,51321946.678531155,51374633.386591844,adentro
83753193.06815243,77319564.53158319,68117859.70028338,65350759.57327455,61751590.0000155,64622889.651690066,61856513.64344551,adentro
174236399.4761157,244628330.7904417,156832199.84014744,111729440.81901695,73578988.34662607,59799665.49193053,53357211.05226776,afuera
185880960.39597902,241327378.65289164,165909331.17786592,103769343.27120623,77583156.49634148,67079875.579768345,63359000.43196384,afuera
207889457.09081465,236163708.5990086,160044001.77667567,92970576.6679281,66919059.75589385,58092900.795002066,52895548.21874477,arriba
194237111.9966279,230466476.3442883,139898576.03098208,87046936.33218962,72198428.21554461,65499491.22695295,65016559.5523713,arriba
128873054.53015347,172611993.9157174,117532125.44458327,98804546.02678901,80001066.92429115,71296006.0194067,66685130.35528907,abajo
139017040.1883635,171382718.8045713,114147008.88975325,97881256.01194137,79380532.65313146,73516610.455562,68677185.31225994,abajo
195870613.14230457,245374728.70645753,146635183.77976993,120495056.53769375,87712715.40258335,73359175.41570401,64163980.701704726,adentro
167126912.0848006,215067543.94504327,135250107.86977202,100364175.50990969,81118004.33184908,69162997.98104396,66242159.99014909,adentro
424272773.2343767,744938600.1117189,565817987.4801668,382780152.90853345,235034263.92518526,169051704.4844841,122183834.21173671,afuera
351826967.57429826,645873310.8693473,467003558.23966503,307359604.6955848,207272841.54383695,146846517.8687671,110371836.58065748,afuera
204635679.4199558,334418992.7226863,178206496.762675,128224763.29832014,102239831.99079031,83179331.31165406,71214356.41364528,arriba
189975158.86998355,269501577.80106294,148810959.51535562,114321150.39152372,90681078.08598495,72505620.26519617,66527134.33761759,arriba
176886315.35475063,249840127.57244813,159494100.14451125,128353633.57423198,102841346.17133221,86476540.83815327,78406851.18232325,abajo
180810133.82126585,248973681.94671714,161424117.42550924,134673201.2841255,109717364.11441185,85051414.38902843,75383016.21131986,abajo
165900504.05643737,142388709.00070286,105039824.45351247,97343201.6569795,87734927.81180306,76782639.48588702,73880762.36262307,adentro
157870760.35006076,147234619.47147912,112894801.28004795,97974683.01237005,87843946.46915883,81409029.19714133,75107584.31815532,adentro
242616466.8097398,338270143.3943554,229148938.48685798,167258648.9473868,132630083.5407033,101910867.44835903,83828306.23266664,afuera
340786882.54982567,506610854.230252,428276611.6527181,266718772.1186521,182903245.2485181,133684647.98014253,103782821.23952386,afuera
245334059.77515823,424358261.5640087,322831988.5549548,203236258.73613665,155794896.07570332,113357161.93506072,91565313.15369283,arriba
173839249.0027805,287824166.0504269,189131980.77663782,140497917.51609528,114584247.14246036,93664222.25766161,80970567.45446438,arriba
154882236.54614308,280921312.2322933,236498326.81615272,147841728.60155654,123312574.97375873,91291641.85048942,70231582.11933553,abajo
128664213.9789545,202725090.60116214,132240746.570651,92683547.78535873,69131788.31091607,57963944.48970204,52734738.15096559,abajo
111367803.88980338,164175728.8330546,102034907.17460299,84201234.68407917,63671322.42206267,54104494.75275827,47218669.58874366,adentro
103665095.20852911,149027372.70288828,100356917.69007458,88760034.29965264,68462869.80519542,56399629.14437046,50563278.41116342,adentro
261858029.02249348,417241700.9724983,343877733.90423137,227768496.62006712,153959502.71060005,114355372.06266594,81277236.23452929,afuera
231665651.90844506,509637627.6176144,424383744.9505357,344080455.97370106,212938601.41012162,131957854.13221443,105692509.45053285,afuera
